pto_no,pto_name,permit_id,is_intercity,route_text
NTSA/RSN-041811,CHELSEA TRANSPORTERS LIMITED,,False,"Bus station,Thika rd,Zimmerman,Githurai 44,Kahawa west,Northen Bypass,Ruiru,Ruaka,Kikuyu via Waiyaki way,Forest rd,Limuru,Juja - Juja farm and back"
NTSA/RSN-5013,CIRCULAR CLASSIC COMPANY LIMITED,NTR-00202009101604470,True,"Nairobi, Kangundo road Tala Kangundo, Machakos"
NTSA/RSN-5013,CIRCULAR CLASSIC COMPANY LIMITED,NTR-00202009101603390,True,"Nairobi, Machakos Masii Mwala Kithimani Garissa road, Ol donyo Sabuk"
NTSA/RSN-5013,CIRCULAR CLASSIC COMPANY LIMITED,NTR-00201910290905210,True,"Nairobi, EastleighPangani TerminusJuja Thika Garissa rd Mwala Kithiani Masii Machakos Tala, Kangundo rd"
NTSA/RSN-5013,CIRCULAR CLASSIC COMPANY LIMITED,NTR-00202111051642530,True,"eastleigh, northern bypass eastern bypass jogoo rd mombasa rd utawala, ruai"
NTSA/RSN-5013,CIRCULAR CLASSIC COMPANY LIMITED,NTR-00706,True,"Nairobi, eastleigh kahawa west muranga othaya nyeri mwea, embu"
NTSA/RSN-5013,CIRCULAR CLASSIC COMPANY LIMITED,NTR-00202111051643520,True,"kiambu via westlands, kikuyu ruiru limuru, naivasha"
NTSA/RSN-5013,CIRCULAR CLASSIC COMPANY LIMITED,NTR-00202111121600130,True,"eastleigh, jogoo rd mombasa rd utawala eastern bypass mwihoko kawaha west via mwiki northern bypass, ruiru"
NTSA/RSN-5013,CIRCULAR CLASSIC COMPANY LIMITED,NTR-00202009231508300,True,"Commercial, eastleigh jogoo rd manyanja rd umoja innercore komarock eastern bypass utawala mombasa rd westlands kikuyu kiambu northern bypass kahawa west ruiru mwihoko kasarani, mwiki"
NTSA/RSN-5013,CIRCULAR CLASSIC COMPANY LIMITED,ADR-WZ9SDA5,False,"Nairobi, Eastleigh,Pangani Terminus,Juja town, Thika"
NTSA/RSN-0069,city star shuttle limited,NTR-0020181211134410497,False,"bus station, kencom,gpo,knh,adams arcade,karen,ngong,matasia,kiseriani,rongai,bomas,langata road, kiserian"
NTSA/RSN-0069,city star shuttle limited,NTR-0020181211134054530,False,"kikuyu, kawangware,ngong road,yaya,icea,ambassadeur,bus station,jogoo road,kangundo road,utawala,ruai,joska, malaa"
NTSA/RSN-0069,city star shuttle limited,NTR-00202101251020460,True,"South B, Langata Ongata Rongai Kiserian Ngong Karen Kawangware Yaya KNH Ambassador Kencom Bus station Jogoo rd Buruburu Umoja Kangundo rd Ruai Malaa Kantafu Utawala Jkia Mombasa rd SGR Syokimau Athi river Kitengela, Isinya"
NTSA/RSN-0069,city star shuttle limited,NTR-00202101251031330,True,"Kangundo, Malaa Ruai Juja Ruiru Thika Kenyatta university Juja rdTom mboya Kencom Ambassador Bus station Gikomba Jogoo rd Buruburu Outering rd Umoja Kangundo rdUtawala JKIA Mombasa SGR Syokimau Athi river Kitengela, Isinya"
NTSA/RSN-0069,city star shuttle limited,NTR-00592,False,"kikuyu, kawangware,yaya,arkwings kodhek,yaya,ambassadour,jkia,utawala, joska"
NTSA/RSN-0069,city star shuttle limited,NTR-00591,False,"juja, ruiru,thika rd,tom mboya,bus station,buruburu,ruai,kangundo rd,joska, malaa"
NTSA/RSN-0069,city star shuttle limited,NTR-00596,False,"kikuyu, kawangware,ngong rd,yaya,icea,ambassadour,bus station,umoja,jkia, joska"
NTSA/RSN-0069,city star shuttle limited,ADR-DB3TQ92,True,"Isinya, Kitengela Athi river Syokimau SGR Mombasa rd JKIA Utawala Ruai Malaa Kantafu Kangundo rd Umoja Outering rd Juja rd Buruburu Jogoo rd South B Bus station Ambassador Kencom KNH Langata rd Ongata Rongai Kiserian Ngong Karen Hardy Kawangware Kikuyu, Waiyaki way"
NTSA/RSN-0069,city star shuttle limited,ADR-3ZQSO8Q,True,"Kantafu, Malaa Ruai Juja Ruiru Thika rd Kenyatta university Juja rdTom mboya Kencom Ambassador Bus station Jogoo rd Buruburu Outering rd Umoja Kangundo rdUtawala JKIA Mombasa SGR Syokimau Athi river Kitengela, Isinya"
NTSA/RSN-0069,city star shuttle limited,ADR-JY7SED8,True,"Isinya, Kitengela Athi river Syokimau SGR Mombasa rd JKIA Utawala Ruai Malaa Kantafu Kangundo rd Umoja Outering rd Juja rd Buruburu Jogoo rd South B Bus station Ambassador Kencom KNH Langata rd Ongata Rongai Kiserian Ngong Karen Hardy Kawangware Kikuyu Waiyaki way, Thika"
NTSA/RSN-0069,city star shuttle limited,ADR-POKS78J,False,"kikuyu, kawangware,yaya,arkwings kodhek,yaya,ambassadour,jkia,utawala , joska"
NTSA/RSN-0069,city star shuttle limited,ADR-VYASZ6M,False,"kikuyu, waiyaki way, ambassadeur, tom mboya, bus station, jogoo road, umoja, jkia, utawala, kangundo road, joska"
NTSA/RSN-0069,city star shuttle limited,ADR-Q5LCBRQ,True,"kikuyu, kawangware, ngong road, yaya, knh , ambassadour, bus station, jogoo road, jkia, utawala, mombasa road, athi river, kitengela, kajiado"
NTSA/RSN-0069,city star shuttle limited,ADR-EPJSQDR,False,"kikuyu, waiyaki way, ambassadeur, tom mboya, bus station, jogoo road, umoja, jkia, utawala, kangundo road, joska"
NTSA/RSN-0069,city star shuttle limited,ADR-2DVS2WZ,True,"kitengela, athi river,jkia,mombasa road, ambassador, kencom,juja,outering road, jkia, kitengela"
