route,corridor,from_terminus,to_terminus,stages,already_done,known_terminals,known_saccos,researched_terminal,researched_saccos,research_confidence,YOUR_TERMINAL,YOUR_SACCOS
46H,,Terminal Tusker,Johnsaga,17,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc,"Jonsaga Flats, Neema Agency, Risen Company, Aldana",high,,
46K,,Kencom,Kawangware Mwisho,20,,,,Bus Station | Commercial | Kencom | Knh | Odeon | Otc,"City Star Shuttle, KBS, Risen Company",medium,,
46Y,,Kencom,Yaya,10,,,,,,,,
48A,,Odeon Terminus,Lavington Shopping Centre/Shell,12,,,,,,,,
48B,,Odeon Terminus,Othaya Road Stage,19,,,,Bus Station | Commercial | Fig Tree | Kencom | Knh | Odeon | Otc,"Killeton Commuters Services Savings AND Credit Cooperative, Mwiki PSV Society, Meruit Logistics, Nakathi",high,,
48C,,Odeon Terminus,Yaya,15,,,,Bus Station | Commercial | Fig Tree | Kencom | Knh | Odeon | Otc,"Killeton Commuters Services Savings AND Credit Cooperative, Risen Company, Mwiki PSV Society, KBS",high,,
48K,,Westlands,Co-Op Bank,24,,,,,Welkan 48 Society,medium,,
48O,,Odeon Terminus,Othaya Road,21,,,,,,,,
107D,,Main Stage,Ruiru,12,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Koja | Muthurwa | Odeon | Otc | Railways,"Nazigi, Risen Company, Expreso, Nakathi",high,,
114R,,Ngara Stage,Limuru Terminus,48,,,,Commercial | Fig Tree | Koja | Odeon | Otc,"Lopha, Bybuss Trans, MNK Society, Bakaki 101",high,,
114W,,Ngara Teminal,Limuru Town Terminal,44,,,,Bus Station | Fig Tree | Knh | Koja | Muthurwa | Odeon | Otc | Railways,"Digital Luxury, Latema Sacco, Bybuss Trans, Lopha",high,,
119A,,Koja,Gathiga Mwisho,20,,,,Fig Tree | Koja | Otc,"Home, Jonsaga Flats",medium,,
11_2,,Bus Station,Diamond Park Estate,23,,,,Bus Station | Commercial | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Risen Company, County Link, Nakamata, Arbab Ventures",high,,
126N,,Ngong Town,Kiserian,11,,,,,,,,
145B,,By Pass,Ruiru,11,,,,,Nagiru 145,medium,,
145D,,Super High Way,Ruiru,10,,,,,Nagiru 145,medium,,
2030,,Terminal,Rounder,5,,,,,,,,
23KG,,Odeon Terminus,Kangemi Terminus,21,,,,Fig Tree | Knh | Odeon | Railways,"Kangemi, Killeton Commuters Services Savings AND Credit Cooperative, Latema Sacco, Cosy Travel",high,,
23KS,,Ambassadeur,Kariobangi South Estate/Deliverance Church,26,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"Risen Company, City Star Shuttle, Drepeja Route, MNK Society",high,,
24BK,,Nakumatt Galleria,Karen Road-Lang'Ata Road Junction,18,,,,,Wanjo Patrames Travel Company,medium,,
33DC,,Doni,Kobil,14,,,,,,,,
33NG,,St.Peters Clavers Primary School/Salvation Army/Otc,Ngumo Market,8,,,,Bus Station | Commercial | Kencom | Knh | Odeon | Otc,Risen Company,medium,,
33SB,,Ngumo Stage,South B Stage,9,,,,,,,,
16/62,,Bus Station Terminal,Kanisani,30,,,,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc,"Risen Company, Forward Travellers, Southleigh S, Benjo( K)",high,,
17B_2,,Roysambu Terminus,Mwiki,17,,,,,,,,
1961Kd,,Caltex,Diesel,27,,,,,,,,
38/39,kangundo_road,Bus Station,Joska,43,YES,Bus Station | Temple Road,City Shuttle | EBTI | Eastern Bypass Travellers | Forward Travellers | KMO Sacco | Kubamba Ltd | Obamana | Super Metro,Bus Station | Commercial | Fig Tree | Gikomba | Kencom | Knh | Muthurwa | Odeon | Otc | Railways,"City Star Shuttle, Eastern Bypass, City Tram Shuttle, Risen Company",high,,
145,thika_road,Kenya National Archives,Ruiru,25,YES,Kenya National Archives,Lopha,Fig Tree | Odeon,"Nagiru 145, Nazigi, MNK Society",high,,
