pto_no,sacco,permit_id,route_hints,is_intercity,route_text,pto_name_raw
NTSA/RSN-041811,Chelsea,ADR-8LMS57A,,False,"ngara(figtree), githurai44, kahawa west, Commercial",CHELSEA TRANSPORTERS LIMITED
NTSA/RSN-041811,Chelsea,,44,False,"Bus station,Thika rd,Zimmerman,Githurai 44,Kahawa west,Northen Bypass,Ruiru,Ruaka,Kikuyu via Waiyaki way,Forest rd,Limuru,Juja - Juja farm and back",CHELSEA TRANSPORTERS LIMITED
NTSA/RSN-5013,Circular Classic Company,NTR-00202009101604470,,True,"Nairobi, Kangundo road Tala Kangundo, Machakos",CIRCULAR CLASSIC COMPANY LIMITED
NTSA/RSN-5013,Circular Classic Company,NTR-00202009101603390,,True,"Nairobi, Machakos Masii Mwala Kithimani Garissa road, Ol donyo Sabuk",CIRCULAR CLASSIC COMPANY LIMITED
NTSA/RSN-5013,Circular Classic Company,NTR-00201910290905210,,True,"Nairobi, EastleighPangani TerminusJuja Thika Garissa rd Mwala Kithiani Masii Machakos Tala, Kangundo rd",CIRCULAR CLASSIC COMPANY LIMITED
NTSA/RSN-5013,Circular Classic Company,NTR-00202111051642530,,True,"eastleigh, northern bypass eastern bypass jogoo rd mombasa rd utawala, ruai",CIRCULAR CLASSIC COMPANY LIMITED
NTSA/RSN-5013,Circular Classic Company,NTR-00706,,True,"Nairobi, eastleigh kahawa west muranga othaya nyeri mwea, embu",CIRCULAR CLASSIC COMPANY LIMITED
NTSA/RSN-5013,Circular Classic Company,NTR-00202111051643520,,True,"kiambu via westlands, kikuyu ruiru limuru, naivasha",CIRCULAR CLASSIC COMPANY LIMITED
NTSA/RSN-5013,Circular Classic Company,NTR-00202111121600130,,True,"eastleigh, jogoo rd mombasa rd utawala eastern bypass mwihoko kawaha west via mwiki northern bypass, ruiru",CIRCULAR CLASSIC COMPANY LIMITED
NTSA/RSN-5013,Circular Classic Company,NTR-00202009231508300,,True,"Commercial, eastleigh jogoo rd manyanja rd umoja innercore komarock eastern bypass utawala mombasa rd westlands kikuyu kiambu northern bypass kahawa west ruiru mwihoko kasarani, mwiki",CIRCULAR CLASSIC COMPANY LIMITED
NTSA/RSN-5013,Circular Classic Company,ADR-WZ9SDA5,,False,"Nairobi, Eastleigh,Pangani Terminus,Juja town, Thika",CIRCULAR CLASSIC COMPANY LIMITED
