stage_id,name,lat,lon,corridor,routes,aliases,nearby_osm_name
0511CHN,China,-1.293510,36.943505,,33H 33J 33UTW,,
0710CCT,China Centre,-1.298608,36.798992,,2 5 8 24 4W 102 111 24C 32A,Coptic /Memosa | Memosa/Coptic,KMTC Bus Stop
0501CHN,Chini Ya Mlima,-1.302180,36.915626,,33B,,
0811CHR,Chiromo,-1.272689,36.808988,,30 105 115 135 48A 48B 48C 48O 114W 23KG,Museum,Chiromo Bus Stage
0801HIR,Chiromo,-1.271117,36.806804,,30 105 115 135 48A 48B 48C 48O 114W 23KG,Chiromo (Mortuary),Chiromo Bus Stage
0801CFY,Chiromo Flyover,-1.272474,36.803714,,48A 48B 48O,Taj Apartments Stage,Chiromo Bus Stage
0401CEX,Chloride Exide,-1.321591,36.868590,,69,,Imara Daima
0401CHK,Chokaa,-1.250724,36.952748,,3738 38/39,,Chokaa Stage
0100CTC,Christco,-1.196260,36.753050,,107 114R,Christco Church,
0500CMZ,Christian Ministries In Africa,-1.360852,36.725832,,24 24C,Collingham Gardens,
0700CRP,Christophers,-1.318646,36.715664,,24 111 24C,,Kabuagi
0801CNG,Chunga Mali,-1.160813,36.639781,,115 135 114W,,
0412CAR,Church Army,-1.294750,36.853260,,10 36 58 6E 33C 34B 34J 04SK 1960 33DP 33TP 1961K 19Cdc 19Cjk 33FED 33GTB 35/60 38/39 70/71,,Church army
0101CAV,Church Of Acts/Velvet Lounge,-1.203525,36.785397,,106 116,Velvet Lounge,Church Of Acts/Velvet Lounge
0810WPS,Church Road/Westlands Primary School,-1.260150,36.791200,,30 105 115 135 48K 114W 23KG,,Safaricom/Saf
0211CID,Cid,-1.250300,36.846580,kiambu_road,100 120 121 100A,Kenya Forestry Service Station/Kfs Karura Gate,
0500CIT,Cid Training School,-1.317071,36.829826,,12C 12D,,Mash Bus services
0101CPK,City Park,-1.260570,36.826150,,106 107 116 11F 114R,Total/City Park,City Park
0412CSD,City Stadium,-1.292224,36.843029,,10 36 58 33C 34B 34J 04SK 1960 23KS 33DP 33TP 1961K 19Cdc 19Cjk 33FED 33GTB 35/60 38/39 70/71,City Stadium Stage,
0402CTY,City Stadium/Lusaka Road Junctn,-1.293450,36.840940,,69 405,,
0511CIV,Civil,-1.322659,36.788846,,15 34L,Malezi School,
0510CIV,Civil Servant Stage,-1.324073,36.785992,,15 34L,Talent Academy | Talent/Ngei,
0501CIV,Civil Servants,-1.312130,36.819270,,14B,Miller Estate,
0400CSV,Civil Servants,-1.269526,36.882858,,23KS,Civil Servants Southend Bar | Civil Servants Total Petrol Station,Kariobangi South
0210CLM,Clay,-1.171357,36.948865,thika_road,145 237,Clay Works,
0201CLY,Clay Works,-1.172752,36.945400,thika_road,145 237,,
0600COP,Co-Op Bank,-1.287475,36.748821,,46K 48K,,Msalaba Bus Stage
0601COA,Coast,-1.288240,36.750481,,46K 48K,,County Government
0501COI,College Of Insurance,-1.325740,36.834027,,12D,,Mash Bus services
0512CMC,Commercial,-1.283947,36.826437,,7 33B 33C 33TP 33FED 33GTB 33IMR,Commercial Imara | Luthuli Avenue | Town,Embassava SACCO
0410COM,Commercial,-1.303715,36.838689,,69,Daresalam,
0100CHE,Commission Of Higher Education,-1.227579,36.797994,,108,,Rosslyn Valley
0611COM,Community,-1.292303,36.812936,,56 7C 32A,,KCB/Equity
0601CNG,Congo,-1.289143,36.753033,,56 46K 48K,Kongo,Congo
0400CNT,Connection,-1.321225,36.898180,,33C 34J 33DC 33DP 33TP 33FED,,Taj Mall
0500CON,Consolata,-1.346721,36.765356,,125 126,,
0811CSL,Consolata,-1.266975,36.801222,,48C,,Westlands Bus Stop
0210CON,Consolata,-1.190834,36.897263,thika_road,44G 44K,Jacarada,Githurai 44
0503CNA,Container/New Apostolic Church,-1.322103,36.828810,,12C 12D,Mugoya,Mash Bus services
0800COT,Convent Drive,-1.284406,36.763979,,48K,Convent Lane,Valley Arcade Bus Stop
0810COP,Cooperation,-1.260283,36.710522,,103 105 115 135 114W,Shell/Cooperation,Coperation/Kopa
0100CBR,Cooperative Bank Ruaka,-1.206780,36.784640,,107 114R,Ruaka Ack Church,Ruaka/Banana Junction/Tuskys Supermarket
0200CON,Corner,-1.243938,36.875717,thika_road,25 25A,Ruaraka Corner,adapt alight
0701CMD,Corner/Meteorological Department,-1.299706,36.759325,,24 111 24C,Corner/Meteorological Department/Total,Tankard
0400CTB,Country Bus,-1.286660,36.835242,,58 33C 34B 34J 04SK 1960 23KS 33TP 1961K 19Cdc 19Cjk 33FED 33GTB 35/60,,ENA Coach
0401CRS,Crescent,-1.306213,36.881607,,70/71,,
0400CWN,Crown,-1.307335,36.856425,,70/71,Viwandani,
0400CRN,Crown,-1.314108,36.852687,,69,,
0511CUE,Cuea,-1.352203,36.762892,,125 126,Cuea/Bogani,
0500CUV,Cuea,-1.341490,36.757784,,24 24C 24BK,Cuea | Catholic University,
0801CUS,Custoil,-1.263960,36.730310,,105 135 114W,Nne Market/Sokoni,N (Sokoni)
0611DOD,D.O.D,-1.295282,36.801229,,5 56 46K 46Y,DoD,KMTC Bus Stop
0300DSC,Dadora Sec,-1.251044,36.898828,,36 41 42 32D,,
0500DAK,Dafam Hotel/Kenya Assemblies Of God,-1.325705,36.837034,,12D,Kenya Assemblies Of God/Dafam Hotel,Mash Bus services
0710DCD,Dagoretti Cdf/Aps' Camp,-1.286467,36.740158,,2 3U 102 103,Precious Blood Girls' School,Riruta Stage
