route_id,direction,sequence,stage_id
30007004111,in,2,0300DSC
30007004111,in,3,0310EQT
30007004111,in,4,0300BPS
30007004111,in,5,0310DUN
30007004111,in,6,0310TOT
30007004111,in,7,0310SEN
30007004111,in,8,0310RIS
30007004111,in,9,0300MUT
30007004111,in,10,0310BAO
30007004111,in,11,0300RND
30007004111,in,12,0310FLT
30007004111,in,13,0300BAS
30007004111,in,14,0310CHF
30007004111,in,15,0310TEN
30007004111,in,16,0310FRC
30007004111,in,17,0310JAY
30007004111,in,18,0210GRG
30007004111,in,19,0210PMH
30007004111,in,20,0212GBT
20807042011,out,0,0212APT
20807042011,out,1,0201DAW
20807042011,out,2,0201KBM
20807042011,out,3,0201SHP
20807042011,out,4,0301RDR
20807042011,out,5,0311SOK
20807042011,out,6,0311BAO
20807042011,out,7,0311RIS
20807042011,out,8,0311SEN
20807042011,out,9,0311TOT
20807042011,out,10,0301AIC
20807042011,out,11,0311NNE
20807042011,out,12,0311DIZ
20807042011,out,13,0311FTY
20807042011,out,14,0311CIN
20807042011,out,15,0311BET
20807042011,out,16,0311JUA
20807042011,out,17,0311JER
20807042011,out,18,0313DDS
20807042011,in,0,0313DDS
20807042011,in,1,0300FTY
20807042011,in,2,0300DSC
20807042011,in,3,0310EQT
20807042011,in,4,0300BPS
20807042011,in,5,0310DUN
20807042011,in,6,0310TOT
20807042011,in,7,0310SEN
20807042011,in,8,0310RIS
20807042011,in,9,0300MUT
20807042011,in,10,0310BAO
20807042011,in,11,0210RND
20807042011,in,12,0200SHP
20807042011,in,13,0210KBM
20807042011,in,14,0200KBM
20807042011,in,15,0200FHA
20807042011,in,16,0200BDJ
20807042011,in,17,0210NIS
20807042011,in,18,0212APT
20901043011,out,0,0212NGS
20901043011,out,1,0211KMJ
20901043011,out,2,0201KRK
20901043011,out,3,0201PNG
20901043011,out,4,0211MTG
20901043011,out,5,0211NYS
20901043011,out,6,0211KCA
20901043011,out,7,0211DRV
20901043011,out,8,0201ALS
20901043011,out,9,0211ALS
20901043011,out,10,0200HML
20901043011,out,11,0201SHL
20901043011,out,12,0213NGB
20901043011,in,0,0213NGB
20901043011,in,1,0200SHL
20901043011,in,2,0210ALS
20901043011,in,3,0210DRV
20901043011,in,4,0210KCA
20901043011,in,5,0210SUR
20901043011,in,6,0210MTG
20901043011,in,7,0210PNG
20901043011,in,8,0210KRK
20901043011,in,9,0212NGS
21000004911,out,0,0212SNT
21000004911,out,1,0211KNJ
21000004911,out,2,0211NGR
21000004911,out,3,0211PIO
21000004911,out,4,0201PNG
21000004911,out,5,0211MTG
21000004911,out,6,0211NYS
21000004911,out,7,0211KCA
21000004911,out,8,0211DRV
21000004911,out,9,0201ALS
21000004911,out,10,0211ALS
21000004911,out,11,0201HML
21000004911,out,12,0211STD
21000004911,out,13,0211RSB
21000004911,out,14,0201RGC
21000004911,out,15,0201PPS
21000004911,out,16,0201NAS
21000004911,out,17,0211NAS
21000004911,out,18,0201MET
21000004911,out,19,0201EQT
21000004911,out,20,0201GRD
21000004911,out,21,0201DNK
21000004911,out,22,0211SSN
21000004911,out,23,0201SSN
21000004911,out,24,0211STM
21000004911,out,25,0201MRT
21000004911,out,26,0211HNT
21000004911,out,27,0203SND
21000004911,in,0,0203SND
21000004911,in,1,0200HUN
21000004911,in,2,0210HUN
21000004911,in,3,0200FRS
21000004911,in,4,0200MAT
21000004911,in,5,0200CRN
21000004911,in,6,0210PPS
